1	12735
2	14892
3	12280
4	13436
5	13830
6	12035
7	14443
8	17109
9	17791
10	12399
11	12357
12	13303
13	11996
14	12455
15	11277
16	13973
17	13462
18	12819
19	12483
20	17965
21	20253
22	10322
23	12943
24	13401
25	13723
26	16969
27	11624
28	13297
29	11530
30	11227
31	13712
32	11322
33	17060
34	10713
35	15145
36	13075
37	13415
38	14495
39	11385
40	19031
41	19958
42	14787
43	21002
44	12123
45	17066
46	11180
47	13502
48	14047
49	11983
50	16912
51	14467
52	13028
53	13300
54	13765
55	12358
56	15133
57	11867
58	13008
59	13191
60	13339
61	13187
62	16272
63	13588
64	13703
65	14510
66	16524
67	13560
68	14106
69	15167
70	12401
71	15230
72	13036
73	13799
74	15374
75	12367
76	13686
77	15212
78	14725
79	11431
80	11322
81	13793
82	15240
83	13640
84	13515
85	17190
86	13932
87	13205
88	11791
89	14082
90	14914
91	14199
92	17380
93	15974
94	13207
95	14929
96	17581
97	11130
98	13485
99	16927
100	13435
101	14100
102	12163
103	15525
104	13032
105	15666
106	12906
107	15706
108	14625
109	14025
110	14730
111	17083
112	18570
113	11218
114	16858
115	13803
116	17634
117	11197
118	13603
119	14450
120	14688
121	15792
122	15636
123	15037
124	17908
125	12208
126	12502
127	17058
128	10639
129	15049
130	18830
131	16513
132	11492
133	12418
134	12166
135	14844
136	13059
137	19100
138	13935
139	14576
140	15280
141	14461
142	12179
143	13942
144	10847
145	17519
146	16693
147	12419
148	13171
149	15094
150	14036
151	12072
152	10703
153	12858
154	16662
155	14545
156	15381
157	12264
158	13720
159	11443
160	15766
161	13010
162	16840
163	12423
164	12489
165	21704
166	14637
167	13253
168	20895
169	12192
170	14572
171	13365
172	13249
173	14086
174	15229
175	16444
176	13910
177	13386
178	11964
179	14780
180	13479
181	14940
182	12304
183	14931
184	13581
185	12374
186	13677
187	14869
188	12972
189	14760
190	14264
191	14682
192	13909
193	12843
194	15396
195	12027
196	12662
197	13864
198	13647
199	16466
200	14753
201	12123
202	12355
203	13257
204	12760
205	11922
206	14521
207	15771
208	13814
209	13368
210	11780
211	11483
212	12848
213	11624
214	12469
215	14043
216	10222
217	22148
218	17381
219	12155
220	14439
221	15732
222	14439
223	15221
224	16749
225	17103
226	14263
227	14170
228	14684
229	16197
230	13614
231	15110
232	12569
233	16879
234	10442
235	11942
236	15934
237	12707
238	14860
239	11215
240	14327
241	12889
242	15594
243	13664
244	14507
245	13329
246	13019
247	14337
248	12394
249	13626
250	13469
251	14069
252	17821
253	14423
254	15453
255	16017
256	15710
257	13091
258	13060
259	13214
260	13398
261	13659
262	13158
263	13736
264	17033
265	13527
266	12644
267	13221
268	11886
269	19492
270	17167
271	15369
272	14022
273	16794
274	12955
275	12099
276	12337
277	14567
278	12871
279	11490
280	16401
281	13467
282	14080
283	13975
284	13855
285	17609
286	12555
287	12376
288	13939
289	15990
290	14767
291	12267
292	14090
293	13629
294	11572
295	12252
296	12657
297	17990
298	13067
299	14200
300	10553
301	17081
302	12466
303	18523
304	14343
305	14525
306	12127
307	13455
308	15832
309	12882
310	13720
311	12284
312	13103
313	14201
314	12032
315	13309
316	10743
317	14104
318	13638
319	13367
320	15030
321	14847
322	14325
323	14927
324	15921
325	14075
326	13400
327	13646
328	15084
329	21300
330	15737
331	12599
332	13606
333	15234
334	13437
335	13959
336	13757
337	13582
338	14939
339	13903
340	16487
341	13862
342	17095
343	10377
344	12780
345	18398
346	15108
347	12954
348	13668
349	17837
350	17092
351	13875
352	15262
353	13288
354	13722
355	14105
356	12468
357	11790
358	11727
359	13224
360	10955
361	15293
362	14761
363	13129
364	22021
365	16734
366	12960
367	13598
368	12314
369	12179
370	14027
371	16826
372	19851
373	13098
374	13017
375	12805
376	14045
